Inspection Stage Description,School Code,Borough Name,TCO Obtained Date,Inspection Category,Observation Description,Inspection Date
24 Hour Compliance,HS460R,STATEN ISLAND,,SAFETY,Deficiency,08/02/2019 11:00:00 AM
24 Hour Compliance,HS460R,STATEN ISLAND,,SAFETY,Deficiency,08/03/2019 09:40:00 AM
24 Hour Compliance,HS480Q,QUEENS,,SAFETY,Deficiency,08/28/2019 10:30:00 AM
24 Hour Compliance,HS490K,BROOKLYN,,SAFETY,Comment,08/07/2019 04:35:00 PM
24 Hour Compliance,HS490K,BROOKLYN,,SAFETY,Deficiency,08/23/2019 02:35:00 PM
24 Hour Compliance,PS001R,STATEN ISLAND,,SAFETY,Deficiency,08/07/2019 12:40:00 PM
24 Hour Compliance,PS030R,STATEN ISLAND,,SAFETY,Deficiency,08/12/2019 11:00:00 AM
24 Hour Compliance,PS107K,BROOKLYN,,SAFETY,Deficiency,08/08/2019 10:50:00 AM
24 Hour Compliance,PS164K,BROOKLYN,,SAFETY,Deficiency,08/20/2019 07:30:00 PM
24 Hour Compliance,PS198M,MANHATTAN,,SAFETY,Deficiency,08/21/2019 11:45:00 AM
24 Hour Compliance,PS369K,BROOKLYN,,SAFETY,Deficiency,08/06/2019 08:50:00 PM
24 Hour Compliance,PS369K,BROOKLYN,,SAFETY,Deficiency,08/07/2019 03:25:00 PM
24 Hour Compliance,PS721X,BRONX,,SAFETY,Deficiency,08/05/2019 06:53:00 PM
48 Hour Compliance,HS460R,STATEN ISLAND,,SAFETY,Deficiency,08/16/2019 03:05:00 PM
48 Hour Compliance,IS286M,MANHATTAN,,SAFETY,Comment,08/13/2019 02:50:00 PM
48 Hour Compliance,IS409K,BROOKLYN,,SAFETY,Deficiency,08/07/2019 12:45:00 PM
48 Hour Compliance,OS000M,MANHATTAN,,SAFETY,Comment,08/06/2019 06:00:00 PM
48 Hour Compliance,OS000M,MANHATTAN,,SAFETY,Deficiency,08/06/2019 06:00:00 PM
48 Hour Compliance,OS600R,STATEN ISLAND,,SAFETY,Deficiency,08/16/2019 11:35:00 AM
48 Hour Compliance,PS000R,STATEN ISLAND,,SAFETY,Comment,08/27/2019 11:35:00 AM
48 Hour Compliance,PS000R,STATEN ISLAND,,SAFETY,Deficiency,08/20/2019 10:00:00 AM
48 Hour Compliance,PS000R,STATEN ISLAND,,SAFETY,Deficiency,08/27/2019 11:35:00 AM
48 Hour Compliance,PS002Q,QUEENS,,SAFETY,Deficiency,08/19/2019 11:15:00 AM
48 Hour Compliance,PS002Q,QUEENS,,SAFETY,Deficiency,08/22/2019 10:30:00 AM
48 Hour Compliance,PS009Q,QUEENS,,SAFETY,Deficiency,08/01/2019 07:30:00 PM
